driver_gene,target_gene,mean_drive_gene_ref_dep_score_for_target,mean_drive_gene_mut_dep_score_for_target,delta_rnai_dep_score_driver_and_target,ref_pool_cell_lines_for_driver,mut_pool_cell_lines_for_driver,ref_dep_score_observations_for_target,mut_dep_score_observations_for_target
TP53 (7157),ABCC12 (94160),-0.017148254004142507,-0.053510763259168335,-0.03636250925502583,20,99,20,99
TP53 (7157),ABCC13 (150000),0.02601042441025316,-0.002828353182683874,-0.028838777592937032,19,89,19,89
TP53 (7157),ABCC1 (4363),0.002850290334397004,0.055555355755369594,0.05270506542097259,20,99,20,99
TP53 (7157),ABCC2 (1244),-0.027443914991263495,-0.03406758333045394,-0.006623668339190446,20,99,20,99
TP53 (7157),ABCC3 (8714),0.0314153398929775,-0.010598276701041751,-0.04201361659401925,20,99,20,99
TP53 (7157),ABCC4 (10257),-0.13880991835454,-0.0846160159769206,0.05419390237761941,20,99,20,99
TP53 (7157),ABCC5 (10057),-0.1352651733303625,-0.04536216247218042,0.08990301085818209,20,99,20,99
TP53 (7157),ABCC6 (368),0.0376179853498685,0.027770251550309058,-0.009847733799559444,20,99,20,99
TP53 (7157),ABCC6P1 (653190),-0.17546049085801665,-0.046651976367980415,0.12880851449003625,12,47,12,47
TP53 (7157),ABCC8 (6833),0.027120652101374147,0.0026739275561776434,-0.024446724545196502,20,99,20,99
TP53 (7157),ABCC9 (10060),0.0006804648857559999,0.09943933466793117,0.09875886978217517,20,99,20,99
TP53 (7157),ABCD1 (215),-0.220699812884985,-0.2146728955188486,0.006026917366136392,20,99,20,99
TP53 (7157),ABCD2 (225),-0.05748363678901498,-0.04636642850522029,0.011117208283794693,20,99,20,99
TP53 (7157),ABCD3 (5825),0.07515465510063499,0.058934737791294586,-0.0162199173093404,20,99,20,99
TP53 (7157),ABCD4 (5826),-0.050638376745355505,-0.08705636581022676,-0.03641798906487125,20,99,20,99
TP53 (7157),ABCE1 (6059),-1.3835558601840559,-1.319357547860526,0.0641983123235299,18,97,18,97
TP53 (7157),ABCF1 (23),-0.41069329080711114,-0.3193652429255551,0.09132804788155602,18,97,18,97
TP53 (7157),ABCF2 (10061),-0.008859921850954997,0.033091279421606265,0.04195120127256126,20,99,20,99
TP53 (7157),ABCF3 (55324),-0.022686517151758893,-0.06665054461697172,-0.04396402746521282,18,97,18,97
TP53 (7157),ABCG1 (9619),-0.022254631783609445,-0.018023342441927215,0.00423128934168223,18,97,18,97
TP53 (7157),ABCG2 (9429),-0.099423590107885,-0.045367961795371836,0.05405562831251316,20,99,20,99
TP53 (7157),ABCG4 (64137),0.045152309957059995,0.05472678503070203,0.009574475073642036,20,99,20,99
TP53 (7157),ABCG5 (64240),0.018798482444046506,-0.014918004852958728,-0.033716487297005236,20,99,20,99
TP53 (7157),ABCG8 (64241),0.004488196627778505,-0.017501246139142057,-0.021989442766920563,20,99,20,99
TP53 (7157),ABHD10 (55347),-0.07907757024968423,-0.09143456705532794,-0.012356996805643713,19,89,19,89
TP53 (7157),ABHD11 (83451),0.10875051532416316,0.16595353070200008,0.057203015377836924,19,89,19,89
TP53 (7157),ABHD12 (26090),-0.3488513938320368,-0.30397300657533877,0.044878387256698016,19,89,19,89
TP53 (7157),ABHD12B (145447),-0.014577243261431581,0.024389392738767307,0.03896663600019889,19,89,19,89
